Masalah,Validasi,Item
"Kolom ""hasMerchantReturnPolicy"" tidak ada (dalam ""offers"")",Belum Dimulai,34
"Kolom ""shippingDetails"" tidak ada (dalam ""offers"")",Belum Dimulai,34
"ID global tidak diberikan (misalnya, GTIN, brand)",Belum Dimulai,34
