Masalah,Validasi,Item
"Kolom ""priceCurrency"" tidak ada (dalam ""offers"")",Belum Dimulai,34
"Bilangan floating point dalam properti ""price"" tidak valid (dalam ""offers"")",Belum Dimulai,34
